objective,windows,ann_return,xi_ann_return,active_ann_return,ann_vol,downside,cvar_loss,maxdd_loss,upside_capture,downside_capture,downside_preservation_rate,xcdr_v3,capture_pass_rate,xodr_v1,xodr_pass_rate,xodr_uc_omega,xodr_dc_omega,selected_growth_mass,selected_alpha_signal_mass,selected_reference_anchor_mass,val_overlay_avg_exposure,val_overlay_trigger_rate,val_budget_breach,val_budget_pass_rate,val_budget_active_ann_return,val_budget_path_dd_max_excess,val_budget_path_dd_breach_rate,test_overlay_avg_exposure,test_overlay_trigger_rate,pso_best_score,pso_particles,pso_iterations,tail_breach,tail_scale,tail_pass_rate,universe_raw_count,universe_broad_count,universe_selected_count,universe_selected_avg_opportunity_score,universe_selected_avg_fundamental_confidence,universe_selected_tail_admissible_rate,avg_state_stress,avg_state_growth_cap,avg_state_alpha_cap,WRC_p,SPA_p,PBO_proxy,WRC_AllCandidates_p,SPA_AllCandidates_p,PBO_AllCandidates_proxy,Promotion_Family,Promotion_Family_Size,Promotion_Min_Windows,Promotion_Block_Length,daily_ann_return,daily_xi_ann_return,daily_active_ann_return,daily_downside_capture,daily_downside_preservation,holdout_ann_return,holdout_xi_ann_return,holdout_active_ann_return,holdout_downside_capture,holdout_downside_preservation,research_gate_pass,holdout_gate_pass
capital_preservation_policy,18,0.19217767125598045,0.10959095640085484,0.08258671485512559,0.10747723861500585,0.06927834533635752,0.0122753195007792,0.03486096748226493,1.0271535887020162,0.8681888452683959,1.0,0.5160226040214022,0.5,0.36962246766371143,0.0,0.7044966232447403,0.6297880990162071,0.0,0.0,,,,,,,,,,,,,,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.19217767125597907,0.10959095640085392,0.08258671485512516,0.8736729484194589,False,0.11782165829542952,0.02794643505429106,0.08987522324113839,0.8272543484595664,False,False,False
tail_pso_xodr_v1_policy,18,0.19606748007015207,0.10959095640085484,0.08647652366929724,0.1091140870561317,0.07027779429364386,0.012460750285731223,0.03520488934850956,1.0363546896631908,0.8691183099823602,0.8888888888888888,0.5253725489773914,0.5555555555555556,0.37329331363773716,0.0,0.7189468593124493,0.6419288591390163,0.0857807380952381,0.020524261904761903,,,,,,,,,,,-0.7769075629118757,18.0,18.0,0.21371405844145747,0.9682539682539681,0.1111111111111111,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.19606748007015087,0.10959095640085392,0.08647652366929696,0.8802265064000895,False,0.1247932824332319,0.02794643505429106,0.09684684737894078,0.8214020229898303,False,False,False
pso_state_xodr_v1_policy,18,0.19755116173052364,0.10959095640085484,0.0879602053296688,0.10992804114010807,0.07079069724894714,0.012522083646401555,0.03557223490847581,1.0389264314979256,0.8693672037786723,0.8333333333333334,0.5345581165737828,0.5555555555555556,0.37356022792366644,0.0,0.7250764948750522,0.6482962529762867,0.12851155120947816,0.04031044444444445,,,,,,,,,,,-0.7769075629118757,18.0,18.0,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.19755116173052245,0.10959095640085392,0.08796020532966853,0.8820433648035914,False,0.12970783175892575,0.02794643505429106,0.10176139670463466,0.8187569338816711,False,False,False
state_xodr_v1_policy,18,0.1992792948388148,0.10959095640085484,0.08968833843795994,0.11018401584172757,0.07088969344224826,0.012550286768585099,0.03562582932336396,1.0411513159736838,0.8680186031245299,0.8333333333333334,0.5451033191813947,0.5,0.37865733570755034,0.0,0.7284796283263956,0.6496957375436838,0.14444444444444446,0.041666666666666664,,,,,,,,,,,,,,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.19927929483881357,0.10959095640085392,0.08968833843795966,0.8814936740707038,False,0.12884870057858144,0.02794643505429106,0.10090226552429038,0.8192730212361437,False,False,False
downside_preserving_growth_policy,18,0.19898836444262732,0.10959095640085484,0.08939740804177246,0.11040482764442454,0.07115435122570524,0.012651994388698483,0.03553397381059211,1.0404349145287897,0.8667858777269208,0.8333333333333334,0.5329427564329349,0.5,0.37045214860378933,0.0,0.730343417241153,0.6507292128296779,0.14444444444444446,0.08888888888888889,,,,,,,,,,,,,,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.19898836444262585,0.10959095640085392,0.0893974080417719,0.8782729553419372,False,0.1323231903615421,0.02794643505429106,0.10437675530725102,0.8090053213144657,False,False,False
state_optimized_xcdr_v3_policy,18,0.20189690969999768,0.10959095640085484,0.09230595329914279,0.11034591552226128,0.07093276482895322,0.012610019439151505,0.03562500106658057,1.0430134384100098,0.8654987092235009,0.7777777777777778,0.5539327596777404,0.5555555555555556,0.3827876523352981,0.0,0.7316278807316798,0.6495927798257212,0.15833333333333333,0.044444444444444446,,,,,,,,,,,,,,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.20189690969999635,0.10959095640085392,0.09230595329914237,0.8774205705143537,False,0.12706129538935826,0.02794643505429106,0.0991148603350672,0.8157317297491551,False,False,False
enhanced_growth_xodr_v1_policy,18,0.20165224363694956,0.10959095640085484,0.09206128723609468,0.110284309765275,0.07085350935248194,0.012553471800935478,0.035530391573170235,1.0419579037546738,0.8672557604933891,0.7222222222222222,0.5573894982274348,0.5,0.386042118132071,0.0,0.7276425195881779,0.6466612793858846,0.155548558753707,0.08796148005432224,,,,,,,,,,,-0.7610499862842339,18.0,18.0,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.20165224363694795,0.10959095640085392,0.09206128723609404,0.8797279689859115,False,0.12711005120488028,0.02794643505429106,0.09916361615058919,0.8112093062419262,False,False,False
risk_anchor_tail_pso_xodr_v1_policy,18,0.18317317199601058,0.10959095640085484,0.07358221559515572,0.10059062999603774,0.06483632403805868,0.01153999044034869,0.032875118258547616,0.9553794543030256,0.7940616571993295,0.7222222222222222,0.41908366000569286,0.2222222222222222,0.33238540276256606,0.0,0.6657453031254449,0.59037983009115,0.09989030158730158,0.040124849206349206,0.09682024098023606,,,,,,,,,,-0.07326531554199245,18.0,18.0,0.07926869959072833,0.9920634920634921,0.05555555555555555,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.18317317199600935,0.10959095640085392,0.0735822155951554,0.8074353221675874,False,0.13113365798178853,0.02794643505429106,0.10318722292749746,0.7349553839958032,False,False,False
enhanced_growth_anchor_xodr_v1_policy,18,0.19014654224323765,0.10959095640085484,0.08055558584238282,0.10208531547706139,0.06552870843566753,0.011689437291008766,0.033090719430539775,0.970283300167227,0.7977939065554273,0.5555555555555556,0.4777049954946513,0.3888888888888889,0.36774880189990306,0.0,0.6759230490281682,0.5929984062768906,0.16864611430926255,0.056792146720988916,0.08645530743212743,,,,,,,,,,-0.06825015615270862,18.0,18.0,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.1901465422432366,0.10959095640085392,0.08055558584238266,0.8162032318763371,False,0.12861467784696337,0.02794643505429106,0.1006682427926723,0.7387436668172818,False,False,False
fundamental_real_upside_anchor_dd_budget_policy,18,0.19327804915553776,0.10959095640085484,0.08368709275468289,0.09931431181277948,0.06410249932359491,0.011511788210172368,0.03157186121164531,0.9342472243897251,0.7498772957470882,0.5555555555555556,0.5358407064368365,0.2777777777777778,0.40151320528260276,0.0,0.6475662816068071,0.5573213582637543,0.1305743617425354,0.09720259405147859,0.09181364133158842,0.955286050461059,0.13007054673721338,0.0652740675856657,0.16666666666666666,0.08712295124890629,0.005282110868173661,0.03306878306878304,0.9724802208537289,0.10317460317460315,0.12250529449633642,18.0,18.0,,,,227.16666666666666,227.16666666666666,90.0,0.2371893551501253,0.0,1.0,0.4136445709918521,0.5618248357389777,0.24326131308574808,0.0,0.0033333333333333335,0.4482421875,0.0033333333333333335,0.0033333333333333335,0.254150390625,"capital_preservation_policy,downside_preserving_growth_policy,enhanced_growth_anchor_dd_budget_policy,fundamental_upside_convex_anchor_dd_budget_policy",4,12,9,0.18553522114491275,0.10959095640085392,0.07594426474405883,0.650108796745177,True,0.09662263452474261,0.02794643505429106,0.0686761994704515,0.593394980044569,True,False,True
