objective,scenario,ann_return,xi_ann_return,active_ann_return,downside_capture,downside_preservation,cvar_loss,xi_cvar_loss,maxdd_loss,xi_maxdd_loss
balanced_anchor_xodr_v1_policy,base,0.19392962848648382,0.10959095640085392,0.08433867208562992,0.8225695542343741,False,0.014959174513162062,0.014993746820704453,0.10728971491987771,0.09359485239700593
balanced_anchor_xodr_v1_policy,rebalance_cost_5bps,0.19092962848648382,0.10959095640085392,0.0813386720856299,0.8245582861580982,False,0.014985490302635749,0.014993746820704453,0.1072897149198776,0.09359485239700593
balanced_anchor_xodr_v1_policy,remove_top_5pct_active,0.16393911191830746,0.10959095640085392,0.05434815551745351,0.8585119336842076,False,0.01505379109648367,0.014993746820704453,0.11281489096460051,0.09359485239700593
balanced_anchor_xodr_v1_policy,downside_returns_25pct_worse,0.07329189087942219,0.10959095640085392,-0.036299065521431764,1.0282119427929672,False,0.018698968141452582,0.014993746820704453,0.15284292628078822,0.09359485239700593
capital_preservation_policy,base,0.19217767125597907,0.10959095640085392,0.08258671485512516,0.8736729484194589,False,0.014922542853966478,0.014993746820704453,0.10636932996187998,0.09359485239700593
capital_preservation_policy,rebalance_cost_5bps,0.18917767125597912,0.10959095640085392,0.07958671485512515,0.8756616803431831,False,0.014962016538177005,0.014993746820704453,0.10636932996188009,0.09359485239700593
capital_preservation_policy,remove_top_5pct_active,0.16301941364908726,0.10959095640085392,0.053428457248233356,0.9093700811489372,False,0.015079541650061213,0.014993746820704453,0.10764827919473163,0.09359485239700593
capital_preservation_policy,downside_returns_25pct_worse,0.06404512931681602,0.10959095640085392,-0.04554582708403795,1.0920911855243236,False,0.0186531785674581,0.014993746820704453,0.15563209616123974,0.09359485239700593
downside_preserving_growth_policy,base,0.19898836444262585,0.10959095640085392,0.0893974080417719,0.8782729553419372,False,0.01541814723120615,0.014993746820704453,0.11017121789733375,0.09359485239700593
downside_preserving_growth_policy,rebalance_cost_5bps,0.19598836444262585,0.10959095640085392,0.0863974080417719,0.8802616872656611,False,0.015445712212253122,0.014993746820704453,0.11017121789733353,0.09359485239700593
downside_preserving_growth_policy,remove_top_5pct_active,0.16780364721476948,0.10959095640085392,0.05821269081391556,0.9132805831806814,False,0.015536699858092601,0.014993746820704453,0.11299852911440222,0.09359485239700593
downside_preserving_growth_policy,downside_returns_25pct_worse,0.07018118723979666,0.10959095640085392,-0.039409769161057276,1.0978411941774213,False,0.019272684039007684,0.014993746820704453,0.160158527061515,0.09359485239700593
enhanced_growth_anchor_crash_budget_policy,base,0.18754975637093285,0.10959095640085392,0.07795879997007892,0.8117239500925761,False,0.01441899642885385,0.014993746820704453,0.10532099147577345,0.09359485239700593
