objective,daily_obs,daily_ann_return,daily_xi_ann_return,daily_active_ann_return,daily_ann_vol,daily_xi_ann_vol,daily_downside,daily_xi_downside,daily_cvar_loss,daily_xi_cvar_loss,daily_maxdd_loss,daily_xi_maxdd_loss,daily_upside_capture,daily_downside_capture,daily_downside_preservation
balanced_anchor_xodr_v1_policy,756,0.19392962848648382,0.10959095640085392,0.08433867208562992,0.11330016196211219,0.11142885728049165,0.07525027192771151,0.07721148608570243,0.014959174513162062,0.014993746820704453,0.10728971491987771,0.09359485239700593,0.9691258691044978,0.8225695542343741,False
capital_preservation_policy,756,0.19217767125597907,0.10959095640085392,0.08258671485512516,0.11514193328620617,0.11142885728049165,0.07664033304891711,0.07721148608570243,0.014922542853966478,0.014993746820704453,0.10636932996187998,0.09359485239700593,1.0104770875210887,0.8736729484194589,False
downside_preserving_growth_policy,756,0.19898836444262585,0.10959095640085392,0.0893974080417719,0.11828722163354835,0.11142885728049165,0.07871352918815226,0.07721148608570243,0.01541814723120615,0.014993746820704453,0.11017121789733375,0.09359485239700593,1.0242458339029583,0.8782729553419372,False
enhanced_growth_anchor_crash_budget_policy,756,0.18754975637093285,0.10959095640085392,0.07795879997007892,0.1094473676210945,0.11142885728049165,0.07291651045710941,0.07721148608570243,0.01441899642885385,0.014993746820704453,0.10532099147577345,0.09359485239700593,0.9513174806435358,0.8117239500925761,False
enhanced_growth_anchor_dd_budget_policy,756,0.18150943607249848,0.10959095640085392,0.07191847967164457,0.09315831365890442,0.11142885728049165,0.0617754448920488,0.07721148608570243,0.01252956387749006,0.014993746820704453,0.0773225416783685,0.09359485239700593,0.8401677983374226,0.6903166374302031,True
enhanced_growth_anchor_dd_control_policy,756,0.18892026201367593,0.10959095640085392,0.07932930561282195,0.11040452960848832,0.11142885728049165,0.07347363571865556,0.07721148608570243,0.014564543885292495,0.014993746820704453,0.10506267108059608,0.09359485239700593,0.9572653795068801,0.8166413603424104,False
enhanced_growth_anchor_xodr_v1_policy,756,0.1901465422432366,0.10959095640085392,0.08055558584238266,0.11115112781457862,0.11142885728049165,0.07396553663239845,0.07721148608570243,0.014690329533922046,0.014993746820704453,0.10579300152395144,0.09359485239700593,0.9586575315291938,0.8162032318763371,False
enhanced_growth_xodr_v1_policy,756,0.20165224363694795,0.10959095640085392,0.09206128723609404,0.11802146518241512,0.11142885728049165,0.07829553698454077,0.07721148608570243,0.015370470683589465,0.014993746820704453,0.10744248887133734,0.09359485239700593,1.028755470695209,0.8797279689859115,False
fundamental_real_upside_anchor_dd_budget_policy,756,0.18553522114491275,0.10959095640085392,0.07594426474405883,0.09166151525448603,0.11142885728049165,0.05926014012103492,0.07721148608570243,0.011710586902713423,0.014993746820704453,0.07091094616758986,0.09359485239700593,0.8124930799680996,0.650108796745177,True
fundamental_upside_convex_anchor_dd_budget_policy,756,0.18465446998580387,0.10959095640085392,0.07506351358494992,0.08937287416551967,0.11142885728049165,0.058385900611278664,0.07721148608570243,0.011663530253109266,0.014993746820704453,0.07042969825425338,0.09359485239700593,0.8090831656098992,0.6477598188249504,True
fundamental_upside_recovery_anchor_dd_budget_policy,756,0.19003073630966746,0.10959095640085392,0.0804397799088135,0.09203941132368297,0.11142885728049165,0.05999483379152293,0.07721148608570243,0.012063926639827326,0.014993746820704453,0.07276348788091891,0.09359485239700593,0.8315934784903657,0.6656986753206142,True
pso_state_xodr_v1_policy,756,0.19755116173052245,0.10959095640085392,0.08796020532966853,0.11751869435654647,0.11142885728049165,0.07818311121943554,0.07721148608570243,0.015365915879381006,0.014993746820704453,0.10636932996188009,0.09359485239700593,1.0243336703746462,0.8820433648035914,False
risk_anchor_tail_pso_xodr_v1_policy,756,0.18317317199600935,0.10959095640085392,0.0735822155951554,0.10805247254871735,0.11142885728049165,0.07199460608126634,0.07721148608570243,0.014265979543221447,0.014993746820704453,0.09920333156277938,0.09359485239700593,0.9409321399055215,0.8074353221675874,False
state_optimized_xcdr_v3_policy,756,0.20189690969999635,0.10959095640085392,0.09230595329914237,0.1183370164509464,0.11142885728049165,0.07855726732775042,0.07721148608570243,0.015371619744511464,0.014993746820704453,0.11031909642632043,0.09359485239700593,1.0278022714620065,0.8774205705143537,False
state_xodr_v1_policy,756,0.19927929483881357,0.10959095640085392,0.08968833843795966,0.11788629552742354,0.11142885728049165,0.07836765897374519,0.07721148608570243,0.015401590870649068,0.014993746820704453,0.10731895359652077,0.09359485239700593,1.026575221333527,0.8814936740707038,False
tail_aware_anchor_dd_budget_policy,756,0.1783513676652467,0.10959095640085392,0.06876041126439272,0.08997745028307978,0.11142885728049165,0.05908534388392104,0.07721148608570243,0.011735088266836377,0.014993746820704453,0.07264203094590405,0.09359485239700593,0.821796236052922,0.6732022964013701,True
tail_convex_anchor_dd_budget_policy,756,0.17651964266341263,0.10959095640085392,0.06692868626255873,0.08908235222167542,0.11142885728049165,0.058421467442326756,0.07721148608570243,0.011534526482138409,0.014993746820704453,0.07033186654166379,0.09359485239700593,0.8062226183713745,0.6583880310853739,True
tail_pso_xodr_v1_policy,756,0.19606748007015087,0.10959095640085392,0.08647652366929696,0.11659702246414126,0.11142885728049165,0.07757914971489585,0.07721148608570243,0.015162959142998537,0.014993746820704453,0.10636932996187964,0.09359485239700593,1.0212356880558322,0.8802265064000895,False
upside_convex_anchor_dd_budget_policy,756,0.18477843204772865,0.10959095640085392,0.07518747564687472,0.09193760401553332,0.11142885728049165,0.059199876571293684,0.07721148608570243,0.011720156649220681,0.014993746820704453,0.06983344995051755,0.09359485239700593,0.8184239545108392,0.6590047489905216,True
xcdr_v3_growth_control_policy,756,0.21336377381422827,0.10959095640085392,0.10377281741337438,0.1226052703620719,0.11142885728049165,0.08107329608234386,0.07721148608570243,0.016114650078754456,0.014993746820704453,0.118037267401922,0.09359485239700593,1.0372896494459607,0.8697430437427117,False
