"train_start","train_end","validation_start","validation_end","test_start","test_end","date","objective","xi","portfolio_return","raw_portfolio_return","anchor_return","xi_return","active_return","state_label","state_stress","state_risk_on","state_recovery","market_down_breadth","market_tail_breadth","market_dispersion","val_growth_mass","val_alpha_signal_mass","budget_min_exposure","budget_rerisk_step","budget_dd_soft_shift","budget_dd_hard_gap","budget_vol_target_shift","overlay_anchor_kind","universe_raw_count","universe_broad_count","universe_selected_count","universe_selected_avg_opportunity_score","universe_selected_avg_fundamental_confidence","universe_selected_tail_admissible_rate","persistent_raw_portfolio_return","persistent_overlay_exposure","persistent_crash_pressure","persistent_path_dd_excess_pre"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","2026-02-18","enhanced_growth_anchor_dd_budget_policy","USMV","0.0024842440948737872","0.0024842440948737872","0.007750082372843073","0.0019825023108677176","0.0005017417840060697","expansion","0.5604639112504212","1.0","0.0","0.4230769230769231","0.038461538461538464","0.013689850055552092","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0","0.0024842440948737872","1.0","0.0","0.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","2026-02-19","enhanced_growth_anchor_dd_budget_policy","USMV","0.0055918391303616515","0.0055918391303616515","0.0021613186768858483","0.00020829254835996736","0.005383546582001684","expansion","0.5604639112504212","1.0","0.0","0.38461538461538464","0.07692307692307693","0.016543909219954536","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0","0.0055918391303616515","1.0","0.3760957136341613","0.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","2026-02-20","enhanced_growth_anchor_dd_budget_policy","USMV","0.004335419413684179","0.004335419413684179","0.004094802244388833","0.0014575846844737672","0.002877834729210412","expansion","0.5604639112504212","1.0","0.0","0.38461538461538464","0.038461538461538464","0.013045355405923942","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0","0.004335419413684179","1.0","0.4723388495521259","0.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","2026-02-23","enhanced_growth_anchor_dd_budget_policy","USMV","-0.00428223258619465","-0.00428223258619465","0.0069176797518142935","-0.004054430740657589","-0.00022780184553706107","expansion","0.5604639112504212","1.0","0.0","0.4230769230769231","0.19230769230769232","0.0187942985136879","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0","-0.00428223258619465","1.0","0.3548263497876317","0.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","2026-02-24","enhanced_growth_anchor_dd_budget_policy","USMV","0.003414850562016814","0.0049707280546729795","-0.00246808915646478","0.0061586222470721985","-0.0027437716850553847","expansion","0.5604639112504212","1.0","0.0","0.38461538461538464","0.038461538461538464","0.01313005584031278","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0","0.0049707280546729795","0.7908434300110736","0.7068674274916948","0.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","2026-02-25","enhanced_growth_anchor_dd_budget_policy","USMV","0.0012101418208678297","0.0012101418208678297","-0.0007636042344771317","0.00020751460371104535","0.0010026272171567844","expansion","0.5604639112504212","1.0","0.0","0.46153846153846156","0.07692307692307693","0.020553241548751735","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0","0.0012101418208678297","1.0","0.35549863864362774","0.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","2026-02-26","enhanced_growth_anchor_dd_budget_policy","USMV","0.004356131236182559","0.004356131236182559","0.0027133772656154926","0.004045178737813293","0.00031095249836926575","expansion","0.5604639112504212","1.0","0.0","0.3076923076923077","0.11538461538461539","0.01719135254068143","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0","0.004356131236182559","1.0","0.5364696306560448","0.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","2026-02-27","enhanced_growth_anchor_dd_budget_policy","USMV","0.005543525417413","0.005543525417413","0.00544810657131137","0.010433874764695705","-0.004890349347282706","expansion","0.5604639112504212","1.0","0.0","0.34615384615384615","0.07692307692307693","0.015643350805714697","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0","0.005543525417413","1.0","0.5349136690319829","0.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","2026-03-02","enhanced_growth_anchor_dd_budget_policy","USMV","-0.004607643658029329","-0.004607643658029329","0.005298035766079623","-0.001329066702089654","-0.0032785769559396747","expansion","0.5604639112504212","1.0","0.0","0.5","0.19230769230769232","0.03126254941041471","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0","-0.004607643658029329","1.0","0.44903704258278376","0.0"
"2023-08-07","2025-08-08","2025-08-18","2026-02-17","2026-02-18","2026-04-17","2026-03-03","enhanced_growth_anchor_dd_budget_policy","USMV","-0.011234877562458232","-0.013119965424314206","-0.007229065856014285","-0.004811681173262139","-0.006423196389196093","expansion","0.5604639112504212","1.0","0.0","0.6923076923076923","0.38461538461538464","0.023849714896327406","0.1","0.12","0.15","0.06","-0.02","0.015","-0.04","reference_anchor","266.0","80.0","20.0","0.5717565037176335","0.314383266214365","1.0","-0.013119965424314206","0.6800000000000002","0.7899999999999999","0.0"
